instruction,input,output
Create a C++ program to compute the sum of two numbers.,,"#include <iostream>
 
int main()
{
    int firstNumber, secondNumber, sumOfTwoNumbers;
    
    std::cout << ""Enter two integers: "";
    std::cin >> firstNumber >> secondNumber;
 
    // sum of two numbers in stored in variable sumOfTwoNumbers
    sumOfTwoNumbers = firstNumber + secondNumber;
 
    // Prints sum 
    std::cout << firstNumber << "" + "" <<  secondNumber << "" = "" << sumOfTwoNumbers;     
    
    return 0;
}"
Rewrite this JavaScript code snippet to take advantage of array destructuring.,"let car1 = cars[0];
let color1 = car1.color;",let [{color: color1}] = cars;
Create SQL code to find the most expensive item in a table.,,SELECT * FROM tableName ORDER BY price DESC LIMIT 1;
Write a function in Python that takes two lists and returns a new list with elements of the first list followed by the second list.,"list1 = [‘a’, ‘b’, ‘c’]
list2 = [1, 2, 3]","def combine_lists(list1, list2):
    return list1 + list2 
combine_lists(list1, list2)"
Create a C# program to perform a linear search on an array.,,"public static int LinearSearch(int[] inputArray, int key) 
{ 
    int size = inputArray.Length; 
   
    for (int i=0; i<size; i++) { 
        if (inputArray[i] == key) { 
            return i; 
        } 
    } 
   
    return -1; 
}"
Create a php code to capitalize the first letter of every word in a string.,string = “welcome to the world of coding”,"<?php 
$string = “welcome to the world of coding”;
echo ucwords($string);
?>"
Construct a forEach loop to loop over every item in an array and print that item.,"array = [“apple”, “banana”, “cherry”]","array.forEach(function(item){
  console.log(item);
});"
Write a shell script to print all odd numbers from 1 to 10.,,"#!/bin/bash 
for num in {1..10}
 do 
   if (( $num % 2 == 1)) 
   then 
      echo $num
   fi 
 done"
Write a JavaScript function to generate a random number between 0 to 10.,,"function getRandomNumber(){
  return Math.floor(Math.random() * 10);
}"
Write a SQL query to find all records in a table where the city is London.,"Table:

|  Name  |  City  |
|--------|--------|
|  John  |  NYC   |
|  Kate  |  London|
|  Alan  |  London|",SELECT * FROM Table WHERE City = 'London';
Write a Java program to sort an array of integers in descending order.,"Array: [2, 3, 11, 4, 5]","int[] arr = {2, 3, 11, 4, 5};

Arrays.sort(arr, Collections.reverseOrder());

System.out.println(Arrays.toString(arr));"
Write a SQL query to find the total revenue of a company's sales in the month of June.,"Table:

|  Orders   |  Date     |  Revenue |
|-----------|-----------|----------|
|  Order 1  |  6/15/19  |  $45     |
|  Order 2  |  6/20/19  |  $80     |
|  Order 3  |  7/15/19  |  $100    |",SELECT SUM(Revenue) FROM Table WHERE Date LIKE '6/__/19'
"Write an HTML code snippet to show a button with the text ""Click me!"".",,"<button type=""button"">Click me!</button>"
Write a Java program to compute the factorial of a given integer.,,"// Java program to calculate factorial of a number
public class Factorial
{
    public static int factorial(int n)
    {
        if (n == 0)
            return 1;
        
        return n*factorial(n-1);
    }
 
    public static void main(String[] args)
    {
        int num = 5;
        System.out.println(""Factorial of ""+ num + "" is: ""+factorial(num));
    }
}"
Write a JavaScript code snippet to remove all occurrences of a given substring from a string.,"String: 'Hello World!'
Substring: 'o'","let str = 'Hello World!';
let subStr = 'o';

let newStr = str.replace(new RegExp(subStr, 'g'), '');

console.log(newStr); // Output: Hell Wrld!"
Write an HTML code snippet to show a hyperlink to an external website.,,"<a href=""https://example.com"">Visit external website</a>"
Write a Python program to check if a given string contains any punctuation character or not.,,"import string

def is_punctuation(word):
    for c in word:
        if c in string.punctuation:
            return True
    return False"
Write a SQL query to calculate the average revenue of the company in the last 3 months.,"Table:

|  Orders   |  Date     |  Revenue |
|-----------|-----------|----------|
|  Order 1  |  2/15/19  |  $90     |
|  Order 2  |  3/20/19  |  $30     |
|  Order 3  |  4/15/19  |  $100    |","SELECT AVG(Revenue) FROM Table WHERE Date >= DATEADD(month, -3, GETDATE())"
Create a function in Python with 2 input parameters a and b and return a string which contains their product.,,"def product_string(a, b):
 return ""The product of a and b is "" + str(a * b)"
Create a Visual Basic program that prints the given input string in reversed order.,"""Hello!""","Module Module1
 Sub Main()
 Dim input_string As String = ""Hello!""
 Dim reversed As String = """"
 For i = input_string.Length - 1 To 0 Step -1
 reversed += input_string(i)
 Next
 Console.WriteLine(reversed)
 End Sub
End Module"
"Write an SQL query that finds the total number of orders from customers whose name contains ""ar"".",,SELECT COUNT(*) FROM orders WHERE customer_name LIKE '%ar%';
Create a Java program to print out the words of a given string in reverse order.,"""Hello world""","public class ReverseStr {
    public static void main(String[] args) {
        String inputStr = ""Hello world"";
        String reversedStr = """";
        for(int i = inputStr.length() - 1; i >= 0; i--) {
            reversedStr = reversedStr + inputStr.charAt(i);
        }
        System.out.println(reversedStr);
    }
}"
Create a JavaScript program that counts the number of vowels in a given string.,"""Hello world""","const str = ""Hello world"";

const countVowels = (str) => {
    let vowelsCount = 0;
    for (let i = 0; i < str.length; i++) {
        if (str[i] === ""a"" || str[i] === ""e"" || str[i] === ""i"" || str[i] === ""o"" || str[i] === ""u"") {
            vowelsCount += 1;
        }
    }
    return vowelsCount;
};

console.log(countVowels(str));"
Rewrite the given code to define a function factorial in Python.,"# Factorial
#n = 5
#Product = 1
#for x in range (1,n+1):
#  Product = Product * x","def factorial(n):
    product = 1
    for x in range(1, n+1):
        product = product * x
    return product"
Write a SQL query to find the names of customers who have placed more than 10 orders.,,"SELECT customer_name
FROM orders
GROUP BY customer_name
HAVING COUNT(*) > 10;"
Create a function in Java that takes in an integer n as a parameter and returns the sum of the first n natural numbers.,,"public static int sumFirstNNaturalNumbers(int n) {
 int sum = 0;
 for (int i = 1; i <= n; i++) {
 sum += i;
 }
 return sum;
}"
Create a JavaScript program that takes two strings and returns true if they are pairwise anagrams of each other.,"""anagram""
""margana""","const pairwiseAnagrams = (str1, str2) => {
    if (str1.length !== str2.length) return false;
    
    const countLetters = (str) => {
        let obj = {};
        for (let i = 0; i < str.length; i++) {
            let char = str[i];
            if (!obj[char]) {
                obj[char] = 1;
            }
            else {
                obj[char]++;
            } 
        }
        return obj;
    }
    let letterCount1 = countLetters(str1);
    let letterCount2 = countLetters(str2);
    for (let letter in letterCount1) {
        if (letterCount1[letter] !== letterCount2[letter]) return false;
    }
    return true;
};

console.log(pairwiseAnagrams(""anagram"", ""margana""));"
Write an SQL Query to find the customer name and order date for all customers who have placed an order yesterday.,,"SELECT customer_name, order_date
FROM orders
WHERE order_date = DATE_SUB(CURDATE(), INTERVAL 1 DAY);"
Create a Visual Basic program that prints the even numbers between 1 and the given input number n.,10,"Module Module1
 Sub Main()
 Dim n As Integer = 10
 For i As Integer = 2 To n Step 2
 Console.WriteLine(i)
 Next
 End Sub
End Module"
Rewrite the given code to sort the list of numbers in ascending order.,"numbers = [3, 5, 1, 4, 2]","numbers = [3, 5, 1, 4, 2]
def ascending_sort(numbers):
    for i in range(len(numbers)-1):
        for j in range(i+1, len(numbers)):
            if numbers[i] > numbers[j]:
                temp = numbers[i];
                numbers[i] = numbers[j];
                numbers[j] = temp;
    return numbers

print(ascending_sort(numbers))"
Create a JavaScript program that takes in a string and returns the number of pairs of matching letters in the string.,"""mississippi""","const matchingPairs = (str) => {
    let count = 0;
    str = str.toLowerCase();
    for (let i = 0; i < str.length-1; i++) {
        if (str[i] === str[i+1]) {
            count++;
        }
    }
    return count;
}
console.log(matchingPairs(""mississippi""));"
Create a C++ function that checks if a given integer is an Armstrong number.,,"#include <iostream>

using namespace std;

int getNumDigits(int num) {
    int digits = 0;
    while (num > 0) {
        digits++;
        num /= 10;
    }
    return digits;
}

bool isArmstrong(int num) {
    int digits = getNumDigits(num);
    int sum = 0;
    int tempNum = num;
    while (tempNum > 0) {
        int digit = tempNum % 10;
        sum += pow(digit, digits);
        tempNum /= 10;
    }
    return sum == num;
}

int main() {
    cout << isArmstrong(153) << endl;
    return 0;
}"
What is a possible way to check whether an element exists in a set?,,"A possible way to check whether an element exists in a set is to use the keyword 'in', which returns True if the element exists and False otherwise."
Explain the difference between a variable and a constant.,,A variable is a named location in memory that stores values that can be changed. A constant is a named location in memory that stores a fixed value which cannot be changed.
Write an HTML code to make a button display a message on a web page.,,"<button onclick=""alert('Hello World!')"">Click Me</button>"
Generate a correct logic for updating a data field in a table.,"Assuming the table ""user"" has a field ""balance""","UPDATE user
SET balance = balance + 10
WHERE condition;"
Create a C++ class to calculate the maximum value in an array.,,"class MaxValue
{
public:
  int maxValue(int numbers[], int length)
  {
    int maxValue = numbers[0];
    for(int i = 1; i < length; ++i)
    {
      if(numbers[i] > maxValue)
        maxValue = numbers[i];
    }
    return maxValue;
  }
};"
What is the difference between an abstract class and an interface in Java?,,"The main difference between an abstract class and an interface in Java is that a class can extend only one abstract class but it can implement multiple interfaces. An abstract class can contain both implemented and unimplemented methods, while an interface can contain only abstract methods."
Write a JavaScript code to delete duplicate elements from an array.,,"function deleteDuplicates(array) {
  let unique_array = Array.from(new Set(array))
  return unique_array
}"
Amend the following SQL query to select distinct elements.,SELECT * FROM employee;,SELECT DISTINCT * FROM employee;
Identify the correct syntax for an if-else construct in Java.,,"if(condition) {
   // code block to be executed if the condition is true
} else {
   // code block to be executed if the condition is false
}"
Create a Python function to sort a string in descending order.,,"def Descending_Order(str1): 
	str1 = sorted(str1, reverse = True) 
	return ''.join(str1)"
Find the longest word in a sentence using JavaScript.,This is a sentence with a few words.,"function findLongestWord(str) {
    let words = str.split("" "");
    let longestWord = 0;

    for (let i = 0; i < words.length; i++) {
        if (words[i].length > longestWord) {
            longestWord = words[i].length;
        }
    }
    return longestWord;
}"
Explain the concept of Data Encapsulation.,,"Data encapsulation is the process of combining related variables, such as data fields and methods into a single unit, known as a class. Data encapsulation helps simplify the process of software development by binding together data and functions that manipulate that data, making the data more secure and easier to maintain."
Create a Swift function to find the smallest element in an array.,,"func findSml(arr: [Int]) -> Int {
    var smallest = arr[0]

    for index in 0..<arr.count {
        if arr[index] < smallest {
            smallest = arr[index]
        }
    }
    return smallest
}"
Write a function to remove an element from an array in JavaScript.,"const array = [1, 2, 3, 4, 5];","function removeElement(array, element) {
    let newArray = [];
    for (let i = 0; i < array.length; i++) {
        if(array[i] !== element) {
            newArray.push(array[i]);
        }
    }
    return newArray;
}"
Create a simple class named Employee in Java.,,"public class Employee {
 
    private String name;
    private int age;
 
    public Employee(String name, int age) {
        this.name = name;
        this.age = age;
    }
 
    public String getName() {
        return name;
    }
 
    public int getAge() {
        return age;
    }
 
    public void setName(String name) {
        this.name = name;
    }
 
    public void setAge(int age) {
        this.age = age;
    }
 
    @Override
    public String toString() {
        return ""Employee{"" +
                ""name='"" + name + '\'' +
                "", age="" + age +
                '}';
    }
}"
"Create a data structure that stores the following data: name, age, and salary.",,"public class EmployeeData {
 
    private String name;
    private int age;
    private float salary;
 
    public EmployeeData(String name, int age, float salary) {
        this.name = name;
        this.age = age;
        this.salary = salary;
    }
 
    public String getName() {
        return name;
    }
 
    public int getAge() {
        return age;
    }
 
    public float getSalary() {
        return salary;
    }
 
    public void setName(String name) {
        this.name = name;
    }
 
    public void setAge(int age) {
        this.age = age;
    }
 
    public void setSalary(float salary) {
        this.salary = salary;
    }
 
    public String toString() {
        return ""Employee Data { Name: "" + name + "", Age: "" + age + "", Salary: "" + salary + "" }"";
    }
 
}"
Edit the following HTML structure to include the Bootstrap 4 library.,"<html>
<head>
    <title>My Web Page</title>
</head>
<body>

</body>
</html>","<html>
<head>
    <title>My Web Page</title>
    <link rel=""stylesheet"" href=""https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css"" integrity=""sha384-JcKb8q3iqJ61gNV9KGb8thSsNjpSL0n8PARn9HuZOnIxN0hoP+VmmDGMN5t9UJ0Z"" crossorigin=""anonymous"">
    <script src=""https://code.jquery.com/jquery-3.5.1.slim.min.js"" integrity=""sha384-DfXdz2htPH0lsSSs5nCTpuj/zy4C+OGpamoFVy38MVBnE+IbbVYUew+OrCXaRkfj"" crossorigin=""anonymous""></script>
    <script src=""https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js"" integrity=""sha384-9/reFTGAW83EW2RDu2S0VKaIzap3H66lZH81PoYlFhbGU+6BZp6G7niu735Sk7lN"" crossorigin=""anonymous""></script>
    <script src=""https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js"" integrity=""sha384-B4gt1jrGC7Jh4AgTPSdUtOBvfO8shuf57BaghqFfPlYxofvL8/KUEfYiJOMMV+rV"" crossorigin=""anonymous""></script>
</head>
<body>

</body>
</html>"
"Create a SQL query to get the list of employees who have a salary greater than 20,000.",,"SELECT name 
FROM Employees 
WHERE salary > 20000;"
Write a Java program to compare two strings.,"String str1 = ""Hello"";
String str2 = ""World"";","public class CompareString {

    public static void main(String[] args) {

        String str1 = ""Hello"";
        String str2 = ""World"";

        int result = str1.compareTo(str2);

        if (result < 0) {
            System.out.println(""str1 is less than str2"");
        } else if (result == 0) {
            System.out.println(""str1 is equal to str2"");
        } else {
            System.out.println(""str1 is greater than str2"");
        }
    }
}"
Write a JavaScript program to print the Fibonacci series.,,"function printFibonacciSeries(number){
    let num1 = 0;
    let num2 = 1; 

    console.log(num1); 
    let sum;
    for(let i = 0; i<number; i++){
        sum = num1 + num2;
        num1 = num2;
        num2 = sum;
        console.log(num1);
    }   
}

printFibonacciSeries(10);"
Implement the bubble sort algorithm in C++.,,"void bubbleSort(int arr[], int n)
{
   int i, j;
   for (i = 0; i < n-1; i++)
 
       // Last i elements are already in place   
       for (j = 0; j < n-i-1; j++) 
           if (arr[j] > arr[j+1])
              swap(&arr[j], &arr[j+1]);
}"
Create a basic web server using Express in Node.js.,,"const express = require('express');
const app = express();

app.get('/', (req, res) => {
    res.send('Hello World!');
});

const port = 3000;

app.listen(port, () => {
   console.log(`Server is running on port ${port}`);
});"
"Create an object named ""Account"" in Python with two attributes: name and balance.",,"class Account:
    def __init__(self, name, balance):
        self.name = name
        self.balance = balance"
Write a SQL query to get the list of customers who have the same name as their email address.,,"SELECT name 
FROM Customers 
WHERE name = email;"
Create a program in Ruby to generate all combinations of the characters in a string.,"str = ""ABC""","def combinations(str)
  result = []
  0.upto(str.size - 1) do |i|
    0.upto(str.size - 1) do |j|
      result << [str[i], str[j]].join
    end
  end
  result
end

print combinations('ABC')"
Design a structure in C to represent a point in a 2-dimentional plane.,,"typedef struct {
    int x;
    int y;
} Point;"
Create a JavaScript program to manipulate an array of string and return only the words containing a given letter.,"Given an array [""work"",""dog"",""learn"",""beyond"",""monkey""], and letter 'o'.","var arr = [""work"",""dog"",""learn"",""beyond"",""monkey""];
 
function getWordsWithLetter(array, letter){
    var result = [];
    for(var i = 0; i < array.length; i++){
        if(array[i].includes(letter)){
            result.push(array[i]);
        }
    }
    return result;
}
 
console.log(getWordsWithLetter(arr, ""o""));

// Output:[""work"", ""dog"", ""learn""]"
Write a function for creating a dictionary in Python using the following logic.,"Given data in the format {""key1"":""value1"",""key2"":""value2"",""key3"":""value3""}","def createDictionary(data):
    dict_data = {}
    for key, value in data.items():
        dict_data[key] = value
 
    return dict_data"
Implement a SQL query to find the top 5 customer first names along with the total number of purchases made by each.,,"SELECT customername, COUNT(*) AS 'total_purchases' 
FROM customers 
GROUP BY customername 
ORDER BY total_purchases DESC 
LIMIT 5;"
Construct a Java program to print the following sequence of numbers.,"1,3,7,15,31,?","public class PrintSequence {

  public static void main(String[] args) {
      int prev = 1;
      for (int i = 1; i <= 6; i++) {
         System.out.print(prev + "" "");
         prev = prev * 2 + 1;
      }
   }
}

// Output: 1 3 7 15 31 63"
Suggest a modification to the following C code.,"int a,b; 
if (a > b)
printf(""a is greater than b"");","int a,b; 
if (a > b){
    printf(""a is greater than b"");
}"
Create a SQL query to show the total number of orders in each Month.,,"SELECT COUNT(orderdate) as 'TotalOrders', MONTH(orderdate) as 'month'
FROM Orders
GROUP BY MONTH(orderdate);"
Write a piece of Python code to generate a random number between 1 and 10.,,"import random

random_number = random.randint(1, 10)
print(random_number)"
Construct a C++ program to print the nth Fibonacci number.,,"#include <iostream> 

using namespace std; 

int Fibonacci(int n) 
{ 
	if (n <= 1) 
		return n; 
	return Fibonacci(n-1) + Fibonacci(n-2); 
} 

int main() 
{ 
	int n;
	cin >> n;
	cout << Fibonacci(n); 
	return 0; 
}"
Write a php function to find the length of the longest common string found in two separate strings.,"Given two strings: ""abcdabcef"" and ""abcdabxefg""","<?php
function longest_common_string($s1, $s2) {
    $m = strlen($s1);
    $n = strlen($s2);
  
    $max=0;

    for ($i=0; $i<=$m; $i++) 
    { 
        for ($j=0; $j<=$n; $j++) 
        { 
            if ($i==0 || $j==0) {
                $l[$i][$j] = 0; 
            } else if ($s1[$i-1] == $s2[$j-1]) {
                $l[$i][$j] = $l[$i - 1][$j - 1] + 1; 
                $max = max($max, $l[$i][$j]);
            } else {
                $l[$i][$j] = 0; 
            } 
        } 
    }
    return $max;
}
?>"
Write a Python code snippet to remove the vowels from a given string.,"Given string=""learningpython""","def removeVowels(string): 
    vowels = ('a', 'e', 'i', 'o', 'u') 
    for x in string.lower(): 
        if x in vowels: 
            string = string.replace(x, """") 
    return string

string = ""learningpython""
print(removeVowels(string))

// Output: lrngpythn"
Recreate the following matrix using multidimensional array in JavaScript.,"Matrix = [[1, 2, 3], [4, 5, 6], [7, 8, 9]]","let matrix = [[1,2,3], [4,5,6], [7,8,9]];
 
console.log(matrix);
 
// Output: [[1, 2, 3], [4, 5, 6], [7, 8, 9]]"
Write a Bash script to calculate the sum of the digits in a given number.,Given the number 4567,"#!/bin/bash

sum_digits (){
  n=$1
  sum=0
  while [ $n -gt 0 ]; do
   rem=$(($n % 10))
   sum=$(($sum + $rem))
   n=$(($n / 10))
  done
  echo ""$sum""
}

sum_digits 4567 

// Output: 24"
Construct a JavaScript program to find the longest common prefix of a given array of strings.,"Given array [""code"", ""codes"", ""codelab"", ""coding""]","function longestCommonPrefix(arr) {
    if(arr.length == 0) {
        return """";
    }
  
    let prefix = arr[0];
  
    for(let i = 1; i < arr.length; i++) {
        let j = 0;
        while (j < arr[i].length && j < prefix.length && 
               arr[i][j] === prefix[j]) {
            j++;
        }
        prefix = prefix.substring(0, j);
    }
    return prefix;
}

let arr = [""code"", ""codes"", ""codelab"", ""coding""];
let result = longestCommonPrefix(arr);
console.log(result);

// Output: ""code"""
Generate a C program to find the sum of all the elements in a given array.,"Given array [5, 6, 12, 4, 8]","#include <stdio.h>
 
// Function to find sum of all elements 
int getSum(int arr[], int n) 
{ 
    int sum = 0; 
    for (int i = 0; i < n; i++) 
        sum += arr[i]; 

    return sum; 
} 
 
int main()
{
    int arr[] = { 5, 6, 12, 4, 8 }; 
    int n = sizeof(arr) / sizeof(arr[0]); 
 
    // Function call
    int sum = getSum(arr, n); 
    printf(""Sum of array elements is: %d"", sum); 
 
    return 0; 
}
 
// Output: Sum of array elements is: 35"
Construct an Objective-C program to check if a given number is a palindrome,Given number 1221,"int isPalindrome(int num)
{ 
    int orig_num, rest, sum= 0;
    
    orig_num = num; 
  
    while (num > 0)
    {
        rest = num % 10; 
        sum = (sum * 10) + rest; 
        num = num / 10; 
    } 
  
    if (orig_num == sum) 
        return 1; 
    
    return 0;
} 
  
int main (void)
{
    int num = 1221;
    
    if (isPalindrome(num))
        printf(""%d is a palindrome."", num);
    else
        printf(""%d isn't a palindrome."", num); 
    return 0;
} 

// Output: 1221 is a palindrome."
Write a JavaScript function that returns the number of days from today till a given date.,"given_date=""2021-02-14"";","function daysUntil(given_date) {
 const today = new Date();
 const expiration = new Date(given_date);
 return Math.ceil((expiration - today)/(1000*60*60*24))
}"
"Write a Python class called Student which contains the following fields: name, age, and grade.",,"class Student:
 def __init__(self, name, age, grade):
  self.name = name
  self.age = age
  self.grade = grade"
Create a JavaScript array containing 5 fruits.,,"let fruits = [""apple"", ""orange"", ""mango"", ""banana"", ""grape""];"
Use TensorFlow 2.0 to create a convolutional neural network (CNN) model to classify different types of flowers.,,"model = Sequential()
model.add(Conv2D(32, (3, 3), activation='relu', input_shape=(32, 32, 3)))
model.add(Conv2D(64, (3, 3), activation='relu'))
model.add(MaxPooling2D((2, 2)))
model.add(Flatten())
model.add(Dense(128, activation='relu'))
model.add(Dense(5, activation='softmax'))
model.compile(optimizer='adam', loss='categorical_crossentropy', metrics=['accuracy'])"
Sort the numbers in a given list from biggest to smallest using Ruby.,"[3, 5, 2, 1, 4]","def sort_list(list)
 list.sort {|a, b| b<=>a}
end"
"Create an HTML page containing a login form with the following fields: username, password, and submit button.",,"<html>
 <head>
  <title>Login Form</title>
 </head>
 <body>
  <form action=""/login"" method=""POST"">
   <input type=""text"" name=""username"" placeholder=""Username""/>
   <input type=""password"" name=""password"" placeholder=""Password""/>
   <input type=""submit"" value=""Submit""/>
  </form>
 </body>
</html>"
Write a Python function to print an n by n multiplication table.,,"def print_multiplication_table(n): 
 for i in range(1, n+1):
   for j in range(1, n+1):
     print(i*j, end = ' ')
   print()"
"Use a combination of React and JavaScript to create a simple counter application that allows you to increase, decrease, or reset a count.",,"import React, { useState } from 'react';

function App() {
 const [count, setCount] = useState(0);

 const increaseCount = () => {
  setCount(count + 1);
 }

 const decreaseCount = () => {
  setCount(count - 1);
 }

 const resetCount = () => {
  setCount(0);
 }

 return (
  <div>
    <h1>Counter: {count}</h1>
    <button onClick={increaseCount}>Increase</button>
    <button onClick={decreaseCount}>Decrease</button>
    <button onClick={resetCount}>Reset</button>
  </div>
 );
}

export default App;"
Write a C program to remove all vowels from an input string.,"string = ""Hello World""","#include <stdio.h> 
#include <string.h> 
  
void removeVowels(char *str) 
{ 
 int i = 0; 
  
 while (str[i]) { 
  if (str[i] == 'A' || str[i]=='E' || str[i]=='I' || 
      str[i]=='O' || str[i]=='U' || str[i]=='a' || 
      str[i]=='e' || str[i]=='i' || str[i]=='o' || 
      str[i]=='u') 
   str[i] = '\0'; 
  i++; 
 } 
} 
  
int main() 
{ 
 char str[] = ""geeksforgeeks""; 
 removeVowels(str); 
 printf(""%s"", str); 
 return 0; 
}"
Create a JavaScript object that stores the chosen values for a survey.,,"let surveyValues = {
 firstName: ""John"",
 lastName: ""Smith"",
 age: 32,
 gender: ""male"",
 politicalOrientation: ""liberal""
};"
Write a C++ function to check if two given strings are anagrams of each other.,"string1=""listen""; string2=""silent"";","bool isAnagram(string string1, string string2)  
{  
    int n1 = string1.length();  
    int n2 = string2.length();  
  
    if (n1 != n2)  
    return false;  
  
    sort(string1.begin(), string1.end());  
    sort(string2.begin(), string2.end());  
  
    for (int i = 0; i < n1; i++)  
        if (string1[i] != string2[i])  
            return false;  
  
    return true;  
}"
Create an HTML page with a text input form and a submit button.,,"<html>
 <head>
  <title>Text Input Form</title>
 </head>
 <body>
  <form action=""/submit"" method=""POST"">
   <input type=""text"" name=""input"" placeholder=""Enter Text""/>
   <input type=""submit"" value=""Submit""/>
  </form>
 </body>
</html>"
Write a JavaScript function that takes two numbers as parameters and returns the sum of those two numbers.,,"function add(a, b) {
 return a + b;
}"
Write a Ruby program that creates a hash called movies and stores the movie titles extracted from a given array of movie names.,"movies_array = [""Titanic"", ""Star Wars"", ""Jurassic Park""]","movies = {}
movies_array.each do |movie|
 movies[movie] = 1
end"
Create a SQL query to display the first name and last name of all customers in the customer table who live in California.,,"SELECT first_name, last_name  
FROM customers 
WHERE state = ""California"";"
Develop a code snippet to get the  value of the key 'name' from the following dictionary.,"info = {
    'name': 'John',
    'address': '123 Main Street'
}",name_val = info['name']
Below is a piece of code in which task you need to make it compatible with Python 3.,"print ""Hello World""","print(""Hello World"")"
Compress the following string using the gzip module.,"my_string = ""This is a string that needs to be compressed!""","import gzip

with gzip.open('string.gz', 'wb') as f:
    f.write(my_string.encode())"
Write a python program to print the Odd numbers from the list.,"my_list = [1,2,3,4,5,6,7,8,9]","for i in my_list:
    if i % 2 == 1:
        print(i)"
Write a single line of code to convert this list to a set.,"my_list = [1,2,3,3,3,3,4]",myset = set(my_list)
Debug the following code to make it run without errors.,"def my_func(p1, p2):
    return p1 - p2
    
print(my_func(4))","def my_func(p1, p2):
    if p2 is None:
        p2 = 0
    return p1 - p2
    
print(my_func(4))"
Write a code snippet that counts the number of occurrences of a certain character in a given string.,"my_string = ""Hello world!""
character = ""l""","count = my_string.count(character)
print(count)"
Write a single line of code to select all the even numbers from the given list.,"my_list = [1,2,3,4,5,6,7,8,9]",even_list = [num for num in my_list if num % 2 == 0]
Write a function which takes a list as an input and returns a dictionary using  the list values as keys and the corresponding index as value.,"my_list = ['a', 'b', 'c', 'd']","def list_to_dict(lst):
    return dict((v, i) for i, v in enumerate(lst))

dict_from_list = list_to_dict(my_list)
print(dict_from_list)"
